probe id,Control,0.25mg-6hr,0.25mg-24hr,0.25mg-48hr,0.50mg-6hr,0.50mg-24hr,0.50mg-48hr,,,,,,,,,,,,,,,,,,,
PH_hs_0000051,88.74603175,89.5,104.6825397,96.25396825,140.2460317,138.8253968,90.6984127,,,,,,,,,,,,,,,,,,,
PH_hs_0000052,9024,8461.857143,9135.984127,9716.492063,9716.746032,10377.19048,9272.174603,,,,,,,,,,,,,,,,,,,
PH_hs_0000053,76.42063492,42.73015873,61.34920635,83.57936508,81.29365079,100.7539683,108.9365079,,,,,,,,,,,,,,,,,,,
PH_hs_0000056,43.65079365,34.11111111,36.20634921,51.91269841,32.75396825,24.75396825,50.81746032,,,,,,,,,,,,,,,,,,,
PH_hs_0000057,1059.579365,1139.444444,1565.055556,1652.380952,2335.515873,2574.920635,4352.746032,,,,,,,,,,,,,,,,,,,
PH_hs_0000058,104.2936508,56.03174603,60.99206349,346.2698413,57.34920635,47.02380952,42.88095238,,,,,,,,,,,,,,,,,,,
PH_hs_0000059,228.4047619,142.6825397,180.7777778,186.6666667,259.6111111,112.4285714,168.7539683,,,,,,,,,,,,,,,,,,,
PH_hs_0000061,339.5873016,365.0873016,314.8730159,329.8095238,327.2063492,311.3253968,268.0634921,,,,,,,,,,,,,,,,,,,
PH_hs_0000062,63.26984127,85.68253968,81.63492063,49.19047619,73.15873016,95.66666667,37.20634921,,,,,,,,,,,,,,,,,,,
PH_hs_0000063,111.9761905,92.06349206,109.6507937,118.3571429,82.06349206,76.85714286,168.4047619,,,,,,,,,,,,,,,,,,,
PH_hs_0000064,5.53968254,4.952380952,6.015873016,7.904761905,5.015873016,7.714285714,6.968253968,,,,,,,,,,,,,,,,,,,
PH_hs_0000065,26.9047619,21.58730159,24.23809524,32.63492063,24.76190476,30.76190476,29.58730159,,,,,,,,,,,,,,,,,,,
PH_hs_0000066,4.650793651,5.333333333,19.92063492,93.48412698,8.793650794,5.492063492,3.984126984,,,,,,,,,,,,,,,,,,,
PH_hs_0000067,295.7063492,354.9206349,378.9206349,394.2063492,337.6825397,319.531746,280.4920635,,,,,,,,,,,,,,,,,,,
PH_hs_0000068,3044.460317,2583.349206,2936.293651,2989.833333,2711.333333,3332.730159,4548.190476,,,,,,,,,,,,,,,,,,,
PH_hs_0000069,500.6269841,1670.253968,2216.666667,1381.222222,2977.015873,2297.603175,2445.15873,,,,,,,,,,,,,,,,,,,
PH_hs_0000070,19.8015873,16.50793651,17.38095238,23.22222222,13.88888889,11.74603175,13.96825397,,,,,,,,,,,,,,,,,,,
PH_hs_0000071,2.865079365,1.03968254,0.380952381,2.746031746,1.952380952,2.412698413,2.888888889,,,,,,,,,,,,,,,,,,,
PH_hs_0000072,14.44444444,16.07142857,14.82539683,22.68253968,15.14285714,155.3412698,18.34920635,,,,,,,,,,,,,,,,,,,
PH_hs_0000073,34.49206349,51.63492063,70.88888889,56.52380952,53.08730159,38.6031746,33.15873016,,,,,,,,,,,,,,,,,,,
PH_hs_0000074,12.23809524,11.65079365,12.95238095,15.31746032,12.55555556,1020.079365,16.53968254,,,,,,,,,,,,,,,,,,,
PH_hs_0000076,18.92857143,26.57142857,22.50793651,19.84126984,23.77777778,21.85714286,13.25396825,,,,,,,,,,,,,,,,,,,
PH_hs_0000077,9.015873016,12.1984127,6.19047619,13.03174603,6.507936508,14.01587302,16.12698413,,,,,,,,,,,,,,,,,,,
PH_hs_0000078,30.38095238,27.95238095,24.63492063,39.19047619,30.45238095,1100.47619,32.26190476,,,,,,,,,,,,,,,,,,,
PH_hs_0000079,85.38095238,80.38095238,101.4603175,97.71428571,100.0952381,79.23015873,87.73015873,,,,,,,,,,,,,,,,,,,
PH_hs_0000080,25527.65079,27302.90476,30797.96825,29685.25397,21989.7619,22522.14286,34059.52381,,,,,,,,,,,,,,,,,,,
PH_hs_0000081,32.87301587,21.79365079,29.01587302,40.93650794,26.3015873,35.20634921,40.85714286,,,,,,,,,,,,,,,,,,,
PH_hs_0000084,539.3174603,355.1984127,374.9761905,334.9920635,393.3650794,506.7142857,575.7857143,,,,,,,,,,,,,,,,,,,
PH_hs_0000085,2189.642857,2491.587302,2041.873016,1605.18254,1881.849206,1819.746032,1285.619048,,,,,,,,,,,,,,,,,,,
PH_hs_0000086,1652.952381,2258.285714,2010.825397,1371.777778,1430.174603,941.5238095,983.0634921,,,,,,,,,,,,,,,,,,,
PH_hs_0000088,339.1825397,400.7222222,422.8015873,382.9920635,434.515873,305.5,303.952381,,,,,,,,,,,,,,,,,,,
PH_hs_0000089,665.0873016,243.6666667,205.952381,592.6111111,268.4285714,207,601.2380952,,,,,,,,,,,,,,,,,,,
PH_hs_0000090,97.06349206,65.56349206,61.33333333,99.88888889,64.34126984,90.26984127,66.32539683,,,,,,,,,,,,,,,,,,,
PH_hs_0000092,80.06349206,41.95238095,39.03174603,67.93650794,42.50793651,78.38095238,31.42857143,,,,,,,,,,,,,,,,,,,
