name,geneID,1460_6hr,1460_24hr,1461_6hr,1461_24hr,1460_6hr_log2,1460_24hrlog2,1461_6hr_log2,1461_24hr_log2
PCNX,PH_hs_0027131,106.5416667,82.88888889,87.72222222,96.70833333,0.01874025,-0.343426875,-0.26166324,-0.120965388
UNC80,PH_hs_0047655,70.375,62,65.33333333,80.30555556,-0.283670936,-0.466465738,-0.390914705,-0.093234156
TGIF2-C20orf24|C20orf24,PH_hs_0044203,4462.729167,5512.722222,5848.569444,6793.972222,-0.359958307,-0.055119655,0.030199223,0.246370757
CA12,PH_hs_0023423,45.625,40.83333333,40.91666667,46.38888889,0.14543044,-0.014646776,-0.011705501,0.169385172
FAIM,PH_hs_0043829,282.5208333,348.6111111,322.0138889,420.4166667,-0.413653823,-0.110392528,-0.224888165,0.159808783
ACSL4,PH_hs_0023329,887.125,663.0138889,679.25,798.5416667,-0.042464727,-0.462563036,-0.427659468,-0.194234441
NUP62CL,PH_hs_0009896,42.95833333,40.51388889,35.44444444,43.25,0.275118997,0.19059755,-0.002259507,0.284881108
IP6K1,PH_hs_0004254,54.04166667,53.22222222,49.47222222,54.86111111,0.034901075,0.012857656,-0.092552389,0.056612748
CSNK1G1,PH_hs_0049185,136.5,110.7083333,104.3333333,142.7777778,0.178870435,-0.123266694,-0.20883036,0.243740937
ZNF607,PH_hs_0028181,46.04166667,42.27777778,42.13888889,44.80555556,0.084691092,-0.038349419,-0.043096693,0.04542866
RPS24,PH_hs_0047856,53.125,46.5,41.77777778,49.33333333,0.364996817,0.172836597,0.018341636,0.258168651
RNF215,PH_hs_0032396,55.83333333,48.63888889,41.63888889,51.08333333,0.511500339,0.312483921,0.088305221,0.383226317
ATP8B2,PH_hs_0044191,37.16666667,35.77777778,35.02777778,38.36111111,-0.150384815,-0.205330338,-0.235894655,-0.104749611
GATA5,PH_hs_0017053,63.70833333,57.19444444,52.41666667,63.09722222,0.553233129,0.397626052,0.271776645,0.539327527
IL11,PH_hs_0000234,54.20833333,46.83333333,43.77777778,51.25,0.287413524,0.076434597,-0.020902404,0.206450877
NA,PH_hs_0063324,35,38.19444444,33.47222222,35.97222222,-0.070389328,0.055618557,-0.134779915,-0.030860964
TAZ,PH_hs_0024811,281.875,278.7222222,323.7083333,314.0833333,-0.007020428,-0.023247924,0.19261855,0.149071433
KCNH7,PH_hs_0044499,34.25,34.91666667,35.47222222,37.69444444,-0.051715037,-0.023903187,-0.001129311,0.086532884
CORO1A,PH_hs_0030115,3052.166667,2534.944444,3130.319444,2874.125,-0.084563613,-0.352443227,-0.048087467,-0.171274549
REL,PH_hs_0003218,304.875,307.7777778,336.1388889,409.8611111,-0.371502663,-0.357831447,-0.230663054,0.055414593
FFAR1,PH_hs_0013155,59.375,55.56944444,51.33333333,57.54166667,0.141355849,0.045792058,-0.068603814,0.09610725
EP400,PH_hs_0048267,275,201.25,218.6944444,262.8055556,-0.083651772,-0.534094607,-0.414166819,-0.149087616
WAS,PH_hs_0000284,64.47916667,63.59722222,153.1666667,71.72222222,0.321928095,0.30205875,1.570125452,0.475515185
TAOK1,PH_hs_0044538,112.375,133.6388889,137.7083333,162.6944444,0.188905448,0.438924225,0.482200198,0.72274932
SUSD5,PH_hs_0011612,38.79166667,41.22222222,37.19444444,41.44444444,-0.013879589,0.073795929,-0.074539202,0.081552373
NAMPT,PH_hs_0043284,130.7916667,119.1388889,106.8611111,121.6388889,-0.048357971,-0.182984185,-0.339891671,-0.153024051
KCNC3,PH_hs_0022358,108.8333333,116.5416667,96.90277778,103.9027778,0.191067845,0.289793202,0.023557281,0.124181578
NA,PH_hs_0063326,62.45833333,59.77777778,51.36111111,60.29166667,0.243722979,0.180438172,-0.038494681,0.192787517
PHB2,PH_hs_0025971,1529.041667,1296,1391.777778,1551.291667,-0.208946449,-0.447508451,-0.344645292,-0.188104209
SLC26A5,PH_hs_0044511,35,34.72222222,34.63888889,36.13888889,0.074000581,0.062504943,0.059038313,0.12019781
MCTP2,PH_hs_0002795,71.79166667,63.43055556,56.91666667,60.05555556,0.332854471,0.154216059,-0.002110747,0.075335792
POMC,PH_hs_0043512,186.7708333,232.2083333,199.6666667,221.4027778,-0.071423477,0.242727094,0.024900848,0.173980669
ISG20,PH_hs_0022269,77.79166667,67.30555556,62.5,66.04166667,0.022585161,-0.186304863,-0.293174266,-0.213653926
SPRED1,PH_hs_0047253,33.33333333,32.77777778,33.80555556,45.98611111,0.051399153,0.027151606,0.071693915,0.515631757
SLC38A6,PH_hs_0022977,269.1666667,236.4861111,222.0833333,279.1805556,-0.282995148,-0.46973945,-0.560393779,-0.230296443
NFASC,PH_hs_0048292,33.33333333,33.38888889,33.13888889,35.30555556,0.003611254,0.006013744,-0.004829109,0.086540878
SEC22C,PH_hs_0001242,541.625,413.7361111,396.6666667,419.1666667,0.338279725,-0.050303724,-0.111087439,-0.031490612
C2orf50,PH_hs_0044193,68.39583333,58.08333333,58.94444444,54.16666667,0.407003435,0.171219247,0.192450841,0.070500309
FBXW5,PH_hs_0004685,1080.875,1089.5,1281.152778,1030.319444,0.130955897,0.142422404,0.376198735,0.061847913
ID2,PH_hs_0043296,1638.541667,1697.486111,1311.861111,2013.513889,-0.067022477,-0.016035066,-0.387819849,0.230280587
CLCN5,PH_hs_0022787,47.16666667,42.58333333,43.41666667,44.63888889,0.158816306,0.011337544,0.039297625,0.079349776
NA,PH_hs_0063325,34.25,35,34.08333333,38.94444444,0,0.031250934,-0.007037551,0.18531355
MAP1LC3B,PH_hs_0023988,580.0833333,467.5972222,459.0694444,538.25,0.049545796,-0.261448014,-0.288001963,-0.058437959
BAIAP2,PH_hs_0044559,43.33333333,36.86111111,39.44444444,41.83333333,0.237732967,0.004355309,0.102077868,0.186908708
PLEKHG4B,PH_hs_0026319,37.16666667,38.97222222,47.61111111,39.75,0.016265054,0.084701947,0.373554048,0.11321061
PBLD,PH_hs_0044520,96.66666667,76,74.22222222,87.58333333,0.557857271,0.210838195,0.176689972,0.415495135
IL5RA,PH_hs_0004089,47.58333333,42.94444444,45,42.47222222,0.318143147,0.170158315,0.237611809,0.154206403
LOXHD1,PH_hs_0046246,58.83333333,47.16666667,50.66666667,60.02777778,0.073355417,-0.245510713,-0.142241443,0.1023519
ZNF554,PH_hs_0015816,78.70833333,65.55555556,64.44444444,78.63888889,0.080890621,-0.182907722,-0.207569776,0.079617168
LINC01547,PH_hs_0048307,118.25,84.94444444,107.4444444,85.19444444,0.777171917,0.299923233,0.638922621,0.304162993
DCAF16,PH_hs_0031943,52.29166667,48.69444444,49.94444444,51.86111111,-0.012590041,-0.115413909,-0.078846885,-0.024517978
SLC38A8,PH_hs_0044129,57.16666667,51.5,56.19444444,54.13888889,0.436222829,0.285621091,0.411476167,0.357713938
PLA2G5,PH_hs_0023782,159.875,1260.263889,1002.166667,253.3055556,0.078817399,3.057526989,2.726923593,0.742751759
LRP3,PH_hs_0043320,58.66666667,63.29166667,59.22222222,65.16666667,0.041579104,0.15105364,0.055176707,0.193172282
HACD3,PH_hs_0026337,70.33333333,54.88888889,59.16666667,59.25,0.053987647,-0.303706811,-0.195436328,-0.193405792
EPRS,PH_hs_0022831,5541.083333,4769.527778,4188.388889,4230.875,0.176944741,-0.039376888,-0.226827921,-0.212267261
ME3,PH_hs_0018322,139.7708333,116.2777778,121.6388889,146.0694444,-0.082533838,-0.348021771,-0.282992633,-0.018942757
FAM159B,PH_hs_0046479,40.20833333,40.02777778,40.36111111,42.86111111,0.037868186,0.031375173,0.04333954,0.130042899
SRRD,PH_hs_0034439,246.25,259.8194444,220.1388889,288.2361111,-0.16410888,-0.086723201,-0.325818576,0.063018487
MOCS1,PH_hs_0048325,39.04166667,37.52777778,38.30555556,38.44444444,0.137195617,0.080139838,0.109734621,0.114956107
CITED2,PH_hs_0004690,2698.208333,2682.472222,3273.125,4169.875,0.128659351,0.120220837,0.407326305,0.756661742
