"","x"
"315","SLC46A1"
"316","FBLN5"
"317","STON1"
"318","CNPY1"
"319","HLTF"
"320","GPR33"
"321","NPL"
"322","LIMS3|LIMS3L"
"323","LCE1D|LCE1E"
"324","LOC100507172"
"325","MS4A4E|MS4A4A"
"326","LOC441081|LOC101060375|LOC100653060|LOC100653059|LOC100653058|LOC100653056"
"327","OVOS2|LOC100653225|OVOS"
