"","x"
"1","IL8"
"2","previous version conserved probe"
"3","AGL"
"4","TACR3"
"5","RRAD"
"6","DNAJC10"
"7","ZKSCAN7"
"8","ADRB2"
"9","EPHB3"
"10","REN"
"11","ZDHHC17"
"12","TRAM1"
"13","SLC4A4"
"14","EOGT"
"15","ACBD3"
"16","CBLN2"
"17","RYBP"
"18","ADAM12"
"19","GNA13"
"20","KIDINS220"
"21","ATG5"
"22","HMGCR"
"23","LRRC49"
"24","TIPARP"
"25","MEX3C"
"26","B4GALT4"
"27",NA
"28","NOM1"
"29","CNKSR3"
"30","PBLD"
"31","ATMIN"
"32","PLA2G4C"
"33","WDSUB1"
"34","COL4A3BP"
"35","PPP1CB"
"36","NIF3L1"
"37","RNASE6"
"38","USP43"
"39","C2orf44"
"40","MYCN"
"41","TRPS1"
"42","CLUL1"
"43","NDFIP2"
"44","MIB1"
"45","PAX3"
"46","PIBF1"
"47","CRYBA1"
"48","FLRT2"
"49","TSC22D2"
"50","PLCL2"
"51","BBS7"
"52","RBM27"
"53","SLC9A6"
"54","F3"
"55","GOLT1B"
"56","ATAD2B"
"57","DACH1"
"58","LRCH2"
"59","NAP1L2"
"60","TBC1D8B"
"61","CSDE1"
"62","IL7"
"63","CCL20"
"64","BCL2"
"65","DNTTIP2"
"66","DCAF10"
"67","FAM120C"
"68","STXBP5"
"69","CLGN"
"70","GCH1"
"71","KRT24"
"72","SP4"
"73","PFDN4"
"74","CCNT1"
"75","HEATR5B"
"76","SLC2A9"
"77","DNAH7"
"78","TNFAIP2"
"79","ELSPBP1"
"80","LOH12CR1"
"81","SLK"
"82","TXNDC15"
"83","ATP2C1"
"84","TRMT1L"
"85","MPP5"
"86","VCAM1"
"87","KCTD12"
"88","ALG13"
"89","DLAT"
"90","LRRC16A"
"91","AKR1B10"
"92","SLC2A13"
"93","PRR3"
"94","ETNK1"
"95","RND1"
"96","ZNF624"
"97","DOK5"
"98","BIRC3"
"99","PHTF2"
"100","UBE2D1"
"101","PHF12"
"102","HP1BP3"
"103","NIT1"
"104","HELZ2"
"105","IPP"
"106","ZNF184"
"107","SOCS5"
"108","USP33"
"109","PDZRN3"
"110","LONRF1"
"111","KIAA1586"
"112","DMXL1"
"113","CHMP4C"
"114","IFT80"
"115","C1orf65"
"116","BCL10"
"117","HAO1"
"118","PTGS2"
"119","RANBP2"
"120","PLA2G4A"
"121","SEC24A"
"122","CYP4V2"
"123","MAB21L1"
"124","RASA2"
"125","THAP2"
"126","KLHL24"
"127","MAP4K5"
"128","BMP15"
"129","FAM83B"
"130","DNAJC12"
"131","BDP1"
"132","CDKAL1"
"133","C8orf4"
"134","NAA50"
"135","C3orf58"
"136","C7orf60"
"137","NKPD1"
"138","CCL2"
"139","IBTK"
"140","C19orf44"
"141","ZNF781"
"142","USP38"
"143","NR2F2"
"144","SLAIN1"
"145","RFTN2"
"146","FCHO2"
"147","CD2AP"
"148","USF1"
"149","PRDM1"
"150","ZNF568"
"151","C5orf24"
"152","SLU7"
"153","PRKAA2"
"154","MTIF3"
"155","LOC100653061"
"156","TNRC6B"
"157","SLC30A6"
"158","CD109"
"159","CPEB4"
"160","RCOR3"
"161","HDX"
"162","ZNF577"
"163","CDKL2"
"164","UBR1"
"165","GALNT7"
"166","KLF12"
"167","LCOR"
"168","HELQ"
"169","TMTC3"
"170","SRPK2"
"171","POGLUT1"
"172","PCGF5"
"173","NEDD4L"
"174","MAP7"
"175","DNAL4"
"176","CCDC41"
"177","NR4A3"
"178","TRIM33"
"179","RAB27A"
"180","DUSP6"
"181","HOMEZ"
"182","EDEM3"
"183","SPATA1"
"184","PIK3C2B"
"185","ANKRD26"
"186","B4GALT6"
"187","ABCB7"
"188","ATP13A3"
"189","SREK1"
"190","KLHL8"
"191","ZC3H12C"
"192","PCMTD1|LOC100996875"
"193","NIN"
"194","ICAM1"
"195","OPTN"
"196","RFWD2"
"197","FAM13B"
"198","STRIP2"
"199","AKAP11"
"200","SOLH"
"201","E2F7"
"202","BUB3"
"203","HTR2B"
"204","AP1AR"
"205","ARID1B"
"206","RARB"
"207","HPS5"
"208","DNAJC15"
"209","TBL1XR1"
"210","ZNF544"
"211","SPIN1"
"212","ORC4"
"213","TMX3"
"214","JMJD1C"
"215","E2F5"
"216","ZNF292"
"217","NMD3"
"218","MYNN"
"219","KRTAP2-4"
"220","LMAN2L"
"221","SLC7A11"
"222","NXT2"
"223","NFKB2"
"224","PTPRZ1"
"225","LYSMD3"
"226","NPY5R"
"227","OSTM1"
"228","FBXL3"
"229","APOL2"
"230","FAM91A1"
"231","CXCL1"
"232","RHOBTB1"
"233","BBS12"
"234","MLF1IP"
"235","ZNF189"
"236","TVP23B|TVP23C"
"237","PIP4K2C"
"238","FRMD7"
"239","HIBCH"
"240","SAR1B"
"241","FBXO44"
"242","VPS13C"
"243","THAP6"
"244","BSDC1"
"245","SGMS2"
"246","FIG4"
"247","FGF7"
"248","NUDT12"
"249","ZNF302|ZNF181"
"250","BCAT1"
"251","ZFP62"
"252","TMEM217"
"253","IL32"
"254","RAB6A|WTH3DI"
"255","SUPT7L"
"256","PHF17"
"257","ATP2B1"
"258","SLC6A15"
"259","TTC8"
"260","TMEM167B"
"261","CALML6"
"262","CTSL2"
"263","FMR1"
"264","ARFGEF1"
"265","BBS10"
"266","KRT8"
"267","CHD9"
"268","ERLIN2"
"269","FN3K"
"270","TTC19"
"271","DCBLD2"
"272","GABPB1"
"273","SPOPL"
"274","WHAMMP3|WHAMMP2"
"275","ARL4A"
"276","ARL8B"
"277","ZNF37BP|ZNF37A"
"278","ZNF224"
"279","RELB"
"280","SAMD9L"
"281","FHDC1"
"282","NHLRC3"
"283","NRP2"
"284","FLCN"
"285","PCNXL4"
"286","MSX1"
"287","RSBN1"
"288","ZNF33B|ZNF33A"
"289","LOC285423"
"290","TRAPPC10"
"291","IFNE"
"292","C4orf21"
"293","KIAA2026"
"294","CLASP2"
"295","ZNF761|ZNF860|ZNF468|ZNF765"
"296","NAT2"
"297","CXorf23"
"298","TRAF3IP1"
"299","SCYL2"
"300","TFEC"
"301","BTBD9"
"302","C2CD4A"
"303","TAF7L"
"304","SYNJ2"
"305","BEND7"
"306","TMEM41B"
"307","LINC00307"
"308","RBBP4"
"309","C16orf52"
"310","PPM1A"
"311","XIRP2"
"312","RAB2A"
"313","ANKRD28"
"314","RBMX"
"315","CLEC6A"
"316","BOD1L2"
"317","GFPT1"
"318","C5orf28"
"319","CUL5"
"320","QKI"
"321","CCDC88A"
"322","CCDC82"
"323","ZNF772"
"324","TMEM67"
"325","ENPP4"
"326","FLG"
"327","ANKRD6"
"328","C19orf33"
"329","ANKRD46"
"330","TMEM170B"
"331","ULBP1"
"332","WDFY1"
"333","ZNF275"
"334","CXCL2"
"335","DDTL"
"336","ZC2HC1A"
"337","CCL7"
"338","RIT1"
"339","HAUS6"
"340","DYNLT3"
"341","C18orf25"
"342","ZNF334"
"343","BNIP3L"
"344","FTH1"
"345","FAM133B"
"346","WDR20"
"347","KTN1"
"348","SEL1L"
"349","ASPH"
"350","TAOK1"
"351","GXYLT2"
"352","MBP"
"353","ZNF322"
"354","CHML"
"355","USP17L15"
"356","ZBTB1"
"357","ZNF197"
"358","TAP2"
"359","NBPF6"
"360","PCDHGB4"
"361","RPAIN"
"362","RAPGEF6"
"363","HTN3"
"364","CAPRIN1"
"365","PRDM2"
"366","KDM4C"
"367","PCDHGA11"
"368","ZBTB10"
"369","EFCAB4B"
"370","SSX2IP"
"371","DNAH14"
"372","ALDH1L2"
"373","GPR161"
"374","SLC4A7"
"375","NDUFAF4|NDUFAF4P1"
"376","MTMR10"
"377","ZBED4"
"378","USP47"
"379","SLC44A5"
"380","BCORP1"
"381","SLFN5"
"382","NR1D2"
"383","C1orf52"
"384","PRKAA1"
"385","USP14"
"386","YIPF5"
"387","MAGEC1"
"388","PRKACB"
"389","RCHY1"
"390","ACVR2A"
"391","ZNF470"
"392","USP53"
"393","SLC36A1"
"394","COX15"
"395","RIMS2"
"396","MLLT10"
"397","SLC30A7"
"398","KIAA1731"
"399","CEP97"
"400","SPIN4"
"401","ATXN7"
"402","PFKFB2"
"403","RALGPS2"
"404","FOXL1"
"405","TRIM23"
"406","PTBP3"
"407","WDR26"
"408","UFD1L"
"409","CISD1"
"410","EEA1"
"411","SNCA"
"412","ZNF831"
"413","ADRB1"
"414","CASP10"
"415","PPP1R3B"
"416","DIP2C"
"417","IL17RD"
"418","MAFG"
"419","TBX18"
"420","SENP5"
"421","AFF4"
"422","FAM20A"
"423","THAP1"
"424","BMPR2"
"425","MAP3K1"
"426","SOS2"
"427","ABI2"
"428","IRS2"
"429","NEK7"
"430","USP30"
"431","PEG3"
"432","NALCN"
"433","SPOCK3"
"434","TLR4"
"435","ZNF805"
"436","DUSP3"
"437","TMEM26"
"438","ETV1"
"439","STK16"
"440","OTUD1"
"441","ZNF365"
"442","SLC6A6"
"443","TET2"
"444","JPH1"
"445","KIAA1468"
"446","TPR"
"447","PDCL"
"448","SNTB1"
"449","PRKAB2"
"450","PTPRD"
"451","WDR36"
"452","TEAD1"
"453","FAM199X"
"454","SLC12A6"
"455","MLF1"
"456","NHLRC1"
"457","CGGBP1"
"458","CDC73"
"459","TMEM106B"
"460","DDX6"
"461","ARMCX3"
"462","RPRD2"
"463","FAM126B"
"464","OAS3"
"465","LRRC58"
"466","ERAP2"
"467","TRMT13"
"468","CCDC6"
"469","PRKAG2"
"470","FAM102B"
"471","RPS6KA3"
"472","CPSF6"
"473","IREB2"
"474","TBC1D4"
"475","ZDBF2"
"476","CALML4"
"477","CFHR1|CFH"
"478","ZNF181|ZNF302"
