"","x"
"1","MX2"
"2","SLC5A1"
"3","CHGB"
"4","previous version conserved probe"
"5","SOD3"
"6","ITPKA"
"7","EPS8L3"
"8","ASTN1"
"9","KIAA1045"
"10",NA
"11","LOC101060430|LOC100509196"
"12","CDYL"
"13","GKN2"
"14","SEZ6"
"15","NSL1"
"16","SYT2"
"17","C5orf30"
"18","JPH4"
"19","TCFL5"
"20","LOC644135"
"21","LGR6"
"22","SEMA5B"
"23","ZFR2"
"24","CD101"
"25","SLC38A3"
"26","CD180"
"27","LLGL1"
"28","SGCA"
"29","ARSF"
"30","DNAJB3|LOC100286922"
"31","C1orf74"
"32","PAX9"
"33","IAPP"
"34","HEY2"
"35","PATE1"
"36","PTH2R"
"37","NUP62CL"
"38","CYP4Z1"
"39","COL10A1"
"40","C9orf43"
"41","MTHFS|ST20-MTHFS"
"42","EMX2"
"43","TNFRSF18"
"44","MID1IP1"
"45","NRIP2"
"46","LINC00626"
"47","KCNMB2"
"48","BARHL1"
"49","PHYHD1"
"50","LOC284889"
"51","SNX21"
"52","RIPPLY1"
"53","HTR3C"
"54","GATA5"
"55","LRTM2"
"56","C10orf126"
"57","ADCYAP1R1"
"58","KRTAP7-1"
"59","KIAA0825"
"60","THAP3"
"61","CLCN5"
"62","FAM117B"
"63","GABRB3"
"64","ANGPTL1"
"65","WDR17"
"66","ZIC2"
"67","KSR2"
"68","P2RX5"
"69","MOBP"
"70","SLC26A1"
"71","GIGYF1"
"72","NOSTRIN"
"73","PCGF3"
"74","LAGE3"
"75","FADS6"
"76","C19orf55"
"77","LRRC56"
"78","ZBTB7A"
"79","SMCR8"
"80","PROM2"
"81","DEFB103B|DEFB103A"
"82","FAM193B"
"83","NTN3"
"84","PTCH1"
"85","S100A14"
"86","MGC13053"
"87","NKX6-1"
"88","PDE4DIP"
"89","VPS13B"
"90","CCDC129"
"91","NKD2"
"92","CLDN6"
"93","GJA4"
"94","GSTA5"
"95","ADAMTSL4"
"96","WNT6"
"97","SMTNL1"
"98","NRL"
"99","CR1L"
"100","LDHC"
"101","GLYAT"
"102","HBB"
"103","VIPR2"
"104","SUPT6H"
"105","FAM19A2"
"106","PAPLN"
"107","ATP1A4"
"108","C3orf45"
"109","TM4SF19|TM4SF19-TCTEX1D2"
"110","TAAR9"
"111","FBXO4"
"112","KCP"
"113","LOC440356"
"114","KRTAP10-9|KRTAP10-11|KRTAP10-1|KRTAP10-6"
"115","TNNI3"
"116","C17orf102"
"117","C7orf65"
"118","OR56A5"
"119","RPH3A"
"120","ZNF793"
"121","MOGAT2"
"122","ZNF629"
"123","PLEKHG4B"
"124","CACNA1C"
"125","PPP1R27"
"126","LOC442132"
"127","C16orf46"
"128","CNOT6L"
"129","MYT1L"
"130","PIN4"
"131","GJB1"
"132","ADAMTS7"
"133","PRLR"
"134","RPL26"
"135","FMO6P"
"136","UCP1"
"137","TEX36"
"138","TCEANC"
"139","OR6C76"
"140","RTN4RL2"
"141","OR8B4"
"142","C17orf107"
"143","GLYCAM1"
"144","KBTBD13"
"145","C1orf228"
"146","ACTL6B"
"147","NEK10"
"148","POMC"
"149","RAD51B"
"150","LOC100129697"
"151","TNNI1"
"152","TBC1D8B"
"153","FAM153A|FAM153B"
"154","TRIM17"
"155","FSD2"
"156","MMP28"
"157","BBS7"
"158","OR5M11"
"159","AHCTF1"
"160","ANAPC11"
"161","KCNH7"
"162","NTNG1"
"163","CCL23"
"164","FARP1"
"165","ANKRD36B"
"166","WTH3DI"
"167","NME1"
"168","GRIK2"
"169","PKP1"
"170","UGT2B15"
"171","C20orf26"
"172","TRPC7"
"173","LOXHD1"
"174","RDM1"
"175","ACTR3C"
"176","ZNF595"
"177","DOC2GP"
"178","C1RL-AS1"
"179","HTR5A"
"180","ATP7A"
"181","WDR87"
"182","UNC80"
"183","GRIA2"
"184","RPS24"
"185","WWC1"
"186","NANOS1"
"187","TRMT61A"
"188","BCKDK"
"189","TTLL8"
"190","LDB3"
"191","TENM4"
"192","ACVR2B"
"193","CEP112"
"194","TLK2"
"195","OPA3"
"196","EXOG"
"197","GAL3ST3"
"198","PABPC1L2A"
"199","RFPL3|RFPL1|RFPL2"
"200","DPY19L2|DPY19L2P4"
"201","HCAR2|HCAR3"
"202","LOC100132705"
"203","LOC100287368"
"204","LOC441124"
"205","PPP1R18"
"206","LOC100653052"
"207","USP4"
"208","KIF22"
"209","VSX1"
"210","TIAF1"
"211","MRO"
"212","CDH19"
"213","TAF1L"
"214","TPSAB1|TPSB2"
"215","MARVELD3"
"216","S100A3"
"217","KCNJ15"
"218","CCDC40"
"219","SLC16A7"
"220","FAM105B"
"221","B3GNT9"
"222","CALN1"
"223","SDC3"
"224","TUBA3C|TUBA3D|LOC100996887|TUBA3E"
"225","KIAA0146"
"226","LOC388210|LOC101060360"
"227","LOC101060371|LOC101060540|LOC100288562|REXO1L2P"
"228","GGT2|GGT3P|GGT1|GGTLC2|LOC101060682|GGTLC1"
