"","x"
"1","KCNS2"
"2","GIPR"
"3","FUT2"
"4","LINC00858"
"5","TM2D1"
"6","OPTC"
"7","GBGT1"
"8","MTRNR2L4"
"9","OR3A2"
"10","TBX6"
"11","FAM186B"
"12","SPECC1"
"13","NTN1"
"14",NA
"15","TSNAXIP1"
"16","GAB1"
"17","CECR5-AS1"
"18","OLFM3"
"19","PKNOX2"
"20","LRRC1"
"21","OR10AG1"
"22","CARM1"
"23","ANKMY1"
"24","SOCS3"
"25","FAM209A|FAM209B"
"26","KHK"
"27","KIAA0825"
"28","LOC100505478"
"29","NPPB"
"30","IGSF9"
"31","BDH2"
"32","POLE"
"33","MADCAM1"
"34","LIN37"
"35","CD59"
"36","COL11A2"
"37","FGF17"
"38","BCL2L1"
"39","RND2"
"40","HCRT"
"41","TMEM8B"
"42","OR2K2"
"43","PHLDA1"
"44","FGGY"
"45","KRTAP5-6"
"46","RGS6"
"47","LINC00941"
"48","OR56A3"
"49","ZMIZ1-AS1"
"50","CCDC89"
"51","OTUD7B"
"52","OR51Q1"
"53","ENTPD7"
"54","EME2"
"55","HS3ST5"
"56","PCIF1"
"57","SLC7A2"
"58","C15orf62"
"59","PORCN"
"60","TCAF2"
"61","OR2D2"
"62","NR4A3"
"63","OR4C46"
"64","SLC50A1"
"65","ST7L"
"66","MMP25"
"67","LRTOMT"
"68","MTRNR2L3"
"69","LINC01104"
"70","GPAA1"
"71","TREML3P|TREML4"
"72","GJB4"
"73","SLC22A14"
"74","OR4K5"
"75","SYPL2"
"76","CD22"
"77","SPINT2"
"78","LDB1"
"79","MED15"
"80","RGS5"
"81","KCNC4"
"82","OR4D2"
"83","ANO7"
"84","SPAG11B|SPAG11A"
"85","ASB16-AS1"
"86","CCDC37"
"87","MR1"
"88","ERC1"
"89","TMEM184A"
"90","SMOC1"
"91","SUFU"
"92","DKFZp779M0652"
"93","CTRB2"
"94","SEC61A2"
"95","KRTAP10-9|KRTAP10-11|KRTAP10-1|KRTAP10-6"
"96","LDB3"
"97","OVOS|OVOS2"
"98","RCN3"
"99","ZNF827"
"100","GLIS3-AS1"
"101","CCDC57"
"102","LLGL1"
"103","PHF24"
"104","SUPT6H"
"105","SLC6A3"
"106","LOC554223"
"107","RAET1L"
"108","IRF6"
"109","DDN"
"110","SYDE1"
"111","TEX22"
"112","ATG13"
"113","GIGYF1"
"114","OR2M3"
"115","ZNF490"
"116","MOGAT1"
"117","PRKAR1B"
"118","FIZ1"
"119","ADAMTS14"
"120","TMEM239"
"121","SBK1"
"122","HSFY1|HSFY2"
"123","CCDC144A"
"124","RASL10B"
"125","NPY2R"
"126","GYLTL1B"
"127","C11orf70"
"128","SSC4D"
"129","ARID5A"
"130","PASD1"
"131","CCR6"
"132","HPX"
"133","HEMK1"
"134","RBPJ"
"135","OTOF"
"136","OR51G2"
"137","KRTAP11-1"
"138","REM1"
"139","PALM2"
"140","SSX4|SSX4B|SSX1|SSX8|SSX5|SSX6|SSX2|SSX2B|SSX3|SSX7"
"141","C17orf100"
"142","NOBOX"
"143","VENTXP7"
"144","CSRNP3"
"145","ZNF780B"
"146","C9orf62"
"147","BRF1"
"148","CSDC2"
"149","FAM167B"
"150","HOXB8"
"151","CLCA1"
"152","CRB1"
"153","FARP1"
"154","NKIRAS2"
"155","KRTAP10-5"
"156","DKFZP434I0714"
"157","HBA1"
"158","INF2"
"159","EXD2"
"160","PKLR"
"161","CCP110"
"162","FAM19A5"
"163","LINC00965|LOC105379756|LOC105379215|LOC105377802"
"164","TUSC3"
"165","CCDC140"
"166","FOXI1"
"167","STOX1"
"168","ITGA2B"
"169","LOC101060386"
"170","SFXN5"
"171","JPH4"
"172","OR2AG2"
"173","TRIM3"
"174","SRL"
"175","TMEM120B"
"176","PCDHGA2|PCDHGA1|PCDHGA3|PCDHGA4|PCDHGA11|PCDHGA5|PCDHGA10|PCDHG"
"177","PARD3B"
"178","TAAR9"
"179","TTC39B"
"180","ZNF814"
"181","S100A1"
"182","TGFB3"
"183","TREM1"
"184","RALYL"
"185","PIK3R5"
"186","KRTCAP3"
"187","MC2R"
"188","PLLP"
"189","KRTAP6-1"
"190","EDA2R"
"191","OR2F2|OR2F1"
"192","ITGB6"
"193","ADM2"
"194","ERAP1"
"195","LOC389332"
"196","TUBA4B"
"197","BEAN1"
"198","CRB2"
"199","FBLN2"
"200","ZNF326"
"201","FXYD2|FXYD6-FXYD2"
"202","TAS2R38"
"203","KRTAP5-11|KRTAP5-2|KRTAP5-10"
"204","TMEM40"
"205","GLB1L2"
"206","SLC12A7"
"207","LYPLA2P2|LYPLA2"
"208","HOXB3"
"209","TMIGD2"
"210","LOC100505985"
"211","RPH3A"
"212","TMEM139"
"213","SLC5A1"
"214","LIF"
"215","LHX6"
"216","UBXN10"
"217","ENTPD3"
"218","COL1A1"
"219","ITPKA"
"220","FAM222B"
"221","TMEM39B"
"222","LRRC15"
"223","NRIP2"
"224","C20orf96"
"225","LOC149373"
"226","MRO"
"227","CDH19"
"228","AKNA"
"229","OR10H1"
"230","GRID1"
"231","VWCE"
"232","MYL4"
"233","IL9R"
"234","ZNF500"
"235","TNNI1"
"236","ADAMTSL4"
"237","HSFX2|HSFX1"
"238","KRT16"
"239","SLC22A23"
"240","KRTAP26-1"
"241","LRCH4"
"242","OPN1SW"
"243","ANAPC1"
"244","PLIN5"
"245","SLC10A3"
"246","PMEL"
"247","STX1A"
"248","IGFN1"
"249","NPSR1"
"250","DNAJB3|LOC100286922"
"251","S100A3"
"252","ASMT"
"253","C2orf66"
"254","C10orf126"
"255","FGF3"
"256","SH3TC2"
"257","NCAPD3"
"258","PRND"
"259","PABPC1L2A"
"260","HMGA2"
"261","GABRR2"
"262","EGFR"
"263","LOC101928108"
"264","GABRA3"
"265","PGC"
"266","REPS2"
"267","PARK2"
"268","PRSS36"
"269","ENC1"
"270","HTR5A"
"271","CLRN1-AS1"
"272","ZSCAN23"
"273","ANKRD24"
"274","FBXL18"
"275","TRIM16L"
"276","NKD2"
"277","MBD2"
"278","AADACL3"
"279","ANGPTL1"
"280","OR5M11"
"281","FBXO8"
"282","ZFP64"
"283","LMX1B"
"284","SRD5A3"
"285","THOC6"
"286","KRTAP19-6"
"287","PROSER3"
"288","KRTAP21-1"
"289","FTHL17"
"290","SKAP1"
"291","DBNDD2"
"292","KRTAP3-3"
"293","FAM65B"
"294","VSIG8"
"295","MYO7A"
"296","RIPPLY1"
"297","DNAJC9-AS1"
"298","CGB|CGB8|CGB5|CGB7"
"299","SPRY3"
"300","LOC102724279"
"301","GOLGA6L6|GOLGA6L22|GOLGA6L1"
"302","SLC24A2"
"303","CDON"
"304","LOC100129697"
"305","SYT2"
"306","CXXC4"
"307","HIST1H4H"
"308","ACTR3C"
"309","C5orf49"
"310","INO80B"
"311","C14orf80"
"312","MTRNR2L9"
"313","DLL3"
"314","ASAH2B|ASAH2"
"315","KIRREL3"
"316","C2orf57"
"317","CYP2B6"
"318","C16orf46"
"319","ZBTB7A"
"320","SLC38A3"
"321","DPP9"
"322","DLC1"
"323","SSX1|SSX8|SSX5|SSX6|SSX4|SSX4B|SSX2|SSX2B|SSX3|SSX7"
"324","ZNF367"
"325","TUBB2B"
"326","LOC100506679"
"327","LRTM2"
"328","FADS2"
"329","FAM117B"
"330","NTRK2"
"331","KCNC3"
"332","TMEM145"
"333","FAM172BP"
"334","BANF2"
"335","RRAGB"
"336","RAMP3"
"337","LDHC"
"338","OR10A4"
"339","SLITRK6"
"340","CHADL"
"341","PLXNA2"
"342","NRL"
"343","TOR2A"
"344","MAGEA1"
"345","CHST5"
"346","APOC3"
"347","MRPS23"
"348","CTAG1B|CTAG1A|CTAG2"
"349","NSL1"
"350","VHLL"
"351","TNFRSF10A"
"352","KIF22"
"353","MAGED4B|MAGED4"
"354","APOB"
"355","AP1M1"
"356","MROH7"
"357","CHIA"
"358","KCNJ8"
"359","MTHFS|ST20-MTHFS"
"360","LGR6"
"361","RBL2"
"362","TBX20"
"363","PTPRM"
"364","FTCD"
"365","MTUS1"
"366","PDLIM7"
"367","ATP6V0E2"
"368","DNAJC5G"
"369","NPB"
"370","DEFA5"
"371","TRPV1"
"372","TMEM63C"
"373","DLX1"
"374","NKAIN3"
"375","ZNF354C"
"376","PDF"
"377","RNF187"
"378","FAM26D"
"379","MAF"
"380","CFHR1|CFHR2"
"381","PDLIM5"
"382","HES6"
"383","ERAP1|LOC101929747"
"384","KCNQ2"
"385","ANO8"
"386","ADPRHL1"
"387","DGAT2L6"
