"","x"
"1","WDFY4"
"2","ALDH7A1"
"3","EFNB2"
"4","LPXN"
"5","EDNRA"
"6","NDST4"
"7","TAF6"
"8","NOXRED1"
"9","ARL8A"
"10","PSMA1"
"11","TMEM216"
"12","HIPK3"
"13","MFSD3"
"14","CYP1A2"
"15","MAP4K4"
"16","ANKRD30BL"
"17","CUL1"
"18","SGCG"
"19","MIA2"
"20","UPP1"
"21","KANSL3"
"22","HAAO"
"23","CLCN2"
"24","MIEN1"
"25","MPZL2"
"26","LOC101928422"
"27","PLA2G5"
